instance,seed,n_ulds,n_packages,n_priority,n_economy,priority_ratio,priority_vol_frac,priority_wt_frac,attempts,b_rejects,a_rejects,K
instance_092,1092,9,141,80,61,0.5656,0.1498,0.489,1,0,0,100
instance_093,1093,7,160,104,56,0.6496,0.411,0.6231,1,0,0,5000
instance_094,1094,1,94,38,56,0.4073,0.6004,0.6607,1,0,0,100
instance_095,1095,2,108,45,63,0.4191,0.6002,0.6576,1,0,0,500
instance_096,1096,1,250,132,118,0.5285,0.6017,0.6887,5,0,4,100
instance_097,1097,10,93,54,39,0.5849,0.1299,0.3639,1,0,0,500
instance_098,1098,5,115,43,72,0.3708,0.6,0.4734,1,0,0,5000
instance_099,1099,6,176,80,96,0.4529,0.2414,0.6468,1,0,0,5000
instance_100,1100,7,49,23,26,0.4709,0.2075,0.365,1,0,0,100
instance_101,1101,8,228,84,144,0.3677,0.3496,0.6022,1,0,0,2000
instance_102,1102,2,80,45,35,0.5664,0.6004,0.603,1,0,0,500
instance_103,1103,6,43,19,24,0.4393,0.0358,0.3193,1,0,0,2000
instance_104,1104,2,208,92,116,0.4405,0.6005,0.6982,1,0,0,500
instance_105,1105,1,171,75,96,0.4377,0.6003,0.6431,2,0,1,100
instance_106,1106,7,27,18,9,0.6677,0.0636,0.2957,1,0,0,100
instance_107,1107,1,291,117,174,0.4027,0.6043,0.6827,2,0,1,100
instance_108,1108,5,191,54,137,0.2821,0.6,0.6615,1,0,0,1000
instance_109,1109,7,297,197,100,0.6632,0.6001,0.6762,1,0,0,100
instance_110,1110,4,297,147,150,0.4961,0.6004,0.6564,1,0,0,2000
instance_111,1111,8,233,85,148,0.365,0.2179,0.6017,1,0,0,5000
instance_112,1112,5,296,150,146,0.5072,0.6002,0.6459,1,0,0,5000
instance_113,1113,6,144,68,76,0.4731,0.4288,0.5542,1,0,0,5000
instance_114,1114,10,43,13,30,0.3053,0.0285,0.1349,1,0,0,500
instance_115,1115,9,198,72,126,0.3643,0.1916,0.5695,1,0,0,100
instance_116,1116,5,123,63,60,0.5084,0.6001,0.5858,1,0,0,5000
instance_117,1117,4,67,44,23,0.6606,0.2072,0.5657,1,0,0,2000
instance_118,1118,6,231,150,81,0.6477,0.5844,0.6379,1,0,0,2000
instance_119,1119,5,277,81,196,0.2913,0.6001,0.5816,1,0,0,5000
instance_120,1120,4,80,28,52,0.3438,0.3288,0.4718,1,0,0,2000
instance_121,1121,7,105,52,53,0.4964,0.1975,0.4524,1,0,0,500
instance_122,1122,6,241,83,158,0.3459,0.6001,0.5777,1,0,0,500
instance_123,1123,9,292,87,205,0.2984,0.1748,0.5367,1,0,0,100
instance_124,1124,9,293,115,178,0.3915,0.4253,0.6103,1,0,0,100
instance_125,1125,7,148,60,88,0.4044,0.5713,0.6003,1,0,0,100
instance_126,1126,1,149,68,81,0.4577,0.6013,0.6455,1,0,0,100
instance_127,1127,8,62,33,29,0.5374,0.077,0.319,1,0,0,1000
instance_128,1128,9,117,73,44,0.6235,0.2409,0.4701,1,0,0,100
instance_129,1129,10,198,88,110,0.4455,0.1017,0.5914,1,0,0,1000
instance_130,1130,8,12,5,7,0.3827,0.019,0.0321,1,0,0,100
instance_131,1131,10,74,22,52,0.2937,0.0572,0.184,1,0,0,500
instance_132,1132,2,193,57,136,0.2962,0.6005,0.649,1,0,0,500
instance_133,1133,4,260,111,149,0.4273,0.6,0.6753,1,0,0,5000
instance_134,1134,1,67,33,34,0.4984,0.6003,0.6905,1,0,0,5000
instance_135,1135,8,219,88,131,0.4037,0.4344,0.4804,1,0,0,5000
instance_136,1136,7,158,100,58,0.6346,0.3158,0.6211,1,0,0,1000
instance_137,1137,9,237,118,119,0.4977,0.4877,0.6105,1,0,0,100
instance_138,1138,7,188,93,95,0.4941,0.1941,0.5771,1,0,0,100
instance_139,1139,9,182,50,132,0.2773,0.1096,0.4583,1,0,0,100
instance_140,1140,5,226,129,97,0.5705,0.6001,0.6535,1,0,0,5000
instance_141,1141,5,74,19,55,0.2526,0.1607,0.3924,1,0,0,5000
instance_142,1142,5,211,103,108,0.4861,0.6001,0.6126,1,0,0,5000
instance_143,1143,4,180,48,132,0.2679,0.5644,0.5187,1,0,0,2000
instance_144,1144,3,181,111,70,0.6121,0.6004,0.6679,1,0,0,1000
instance_145,1145,9,136,71,65,0.52,0.207,0.5316,1,0,0,2000
instance_146,1146,2,266,174,92,0.6538,0.6011,0.6911,1,0,0,500
instance_147,1147,4,202,51,151,0.2502,0.4252,0.5618,1,0,0,2000
instance_148,1148,10,77,41,36,0.5378,0.0593,0.3221,1,0,0,500
instance_149,1149,2,246,129,117,0.5258,0.6004,0.6394,1,0,0,500
instance_150,1150,9,145,68,77,0.4696,0.1289,0.4822,1,0,0,1000
instance_151,1151,3,50,23,27,0.4567,0.4911,0.5078,1,0,0,1000
instance_152,1152,7,161,54,107,0.3374,0.2584,0.4865,1,0,0,100
instance_153,1153,9,252,123,129,0.4867,0.4414,0.6023,1,0,0,2000
instance_154,1154,2,121,59,62,0.4908,0.6002,0.6489,1,0,0,500
instance_155,1155,1,230,154,76,0.6695,0.606,0.6944,1,0,0,100
instance_156,1156,6,156,40,116,0.2558,0.2249,0.4648,1,0,0,2000
instance_157,1157,7,73,40,33,0.5414,0.29,0.5132,1,0,0,2000
instance_158,1158,4,105,70,35,0.666,0.6001,0.6253,1,0,0,1000
instance_159,1159,5,108,45,63,0.4124,0.5293,0.5392,1,0,0,5000
instance_160,1160,6,175,62,113,0.3565,0.3135,0.522,1,0,0,2000
instance_161,1161,1,153,47,106,0.3064,0.6012,0.6735,2,0,1,100
instance_162,1162,3,296,202,94,0.6833,0.6005,0.6565,1,0,0,1000
instance_163,1163,4,231,160,71,0.6948,0.6005,0.6664,1,0,0,2000
instance_164,1164,3,6,2,4,0.4143,0.081,0.1169,1,0,0,1000
instance_165,1165,7,216,60,156,0.2775,0.3262,0.56,1,0,0,5000
instance_166,1166,4,99,37,62,0.3716,0.5082,0.5298,1,0,0,2000
instance_167,1167,5,135,94,41,0.6945,0.6001,0.5873,1,0,0,5000
instance_168,1168,2,87,30,57,0.347,0.5998,0.6128,1,0,0,500
instance_169,1169,4,208,58,150,0.2768,0.6001,0.6323,1,0,0,2000
instance_170,1170,7,205,54,151,0.2626,0.2058,0.5892,1,0,0,500
instance_171,1171,10,35,11,24,0.3223,0.0267,0.1026,1,0,0,5000
instance_172,1172,8,189,76,113,0.4046,0.1361,0.6214,1,0,0,2000
instance_173,1173,6,7,3,4,0.4001,0.0054,0.083,1,0,0,500
instance_174,1174,2,35,23,12,0.6434,0.6001,0.4877,1,0,0,500
instance_175,1175,5,284,74,210,0.259,0.6,0.6937,2,0,1,5000
instance_176,1176,2,253,132,121,0.5206,0.6014,0.6871,1,0,0,500
instance_177,1177,2,193,78,115,0.4016,0.6002,0.6496,1,0,0,500
instance_178,1178,6,174,90,84,0.519,0.5151,0.6521,1,0,0,100
instance_179,1179,1,119,60,59,0.5076,0.6005,0.6547,1,0,0,100
instance_180,1180,4,150,53,97,0.3556,0.3723,0.5782,1,0,0,5000
instance_181,1181,1,60,20,40,0.3401,0.6001,0.6267,3,0,2,100
instance_182,1182,6,116,52,64,0.452,0.14,0.456,1,0,0,2000
instance_183,1183,7,239,108,131,0.4502,0.3584,0.6219,1,0,0,2000
instance_184,1184,3,109,35,74,0.3175,0.6,0.5964,1,0,0,1000
instance_185,1185,6,230,149,81,0.6494,0.6002,0.6633,1,0,0,5000
instance_186,1186,10,67,27,40,0.3995,0.1132,0.1831,1,0,0,500
instance_187,1187,8,276,86,190,0.31,0.358,0.593,1,0,0,100
instance_188,1188,5,155,102,53,0.6553,0.502,0.6584,1,0,0,5000
instance_189,1189,3,167,70,97,0.4189,0.6002,0.6627,1,0,0,1000
instance_190,1190,5,146,89,57,0.6079,0.6001,0.605,1,0,0,5000
instance_191,1191,5,178,60,118,0.3383,0.2838,0.6052,1,0,0,5000
instance_192,1192,4,31,13,18,0.4198,0.0515,0.2778,1,0,0,2000
instance_193,1193,6,99,45,54,0.451,0.2263,0.5647,1,0,0,1000
instance_194,1194,9,108,33,75,0.3087,0.0736,0.2732,1,0,0,100
instance_195,1195,3,29,8,21,0.2805,0.3234,0.2203,1,0,0,1000
instance_196,1196,4,67,33,34,0.498,0.4181,0.5498,1,0,0,2000
instance_197,1197,3,258,77,181,0.2978,0.6001,0.6313,1,0,0,1000
instance_198,1198,6,102,52,50,0.506,0.3798,0.5312,1,0,0,1000
instance_199,1199,7,55,28,27,0.5018,0.0712,0.4054,1,0,0,2000
instance_200,1200,4,189,129,60,0.6831,0.6002,0.6724,1,0,0,2000
instance_201,1201,6,107,57,50,0.5292,0.498,0.5862,1,0,0,500
instance_202,1202,10,36,22,14,0.6165,0.0443,0.184,1,0,0,500
instance_203,1203,9,121,83,38,0.6873,0.2751,0.5918,1,0,0,100
instance_204,1204,9,198,119,79,0.6024,0.5661,0.5833,1,0,0,1000
instance_205,1205,7,81,29,52,0.3638,0.0815,0.4033,1,0,0,500
instance_206,1206,7,69,44,25,0.6426,0.1864,0.5418,1,0,0,500
instance_207,1207,8,62,30,32,0.4831,0.0969,0.3618,1,0,0,2000
instance_208,1208,8,249,147,102,0.5904,0.4872,0.6516,1,0,0,2000
instance_209,1209,3,70,47,23,0.6758,0.6,0.6202,1,0,0,1000
instance_210,1210,7,274,151,123,0.5506,0.6002,0.6819,1,0,0,100
instance_211,1211,10,146,51,95,0.3515,0.0785,0.4459,1,0,0,500
instance_212,1212,9,158,97,61,0.6119,0.4501,0.5359,1,0,0,100
instance_213,1213,1,243,162,81,0.6666,0.6048,0.6595,2,0,1,100
instance_214,1214,3,121,47,74,0.3854,0.6,0.6034,1,0,0,1000
instance_215,1215,7,241,75,166,0.3128,0.2093,0.5353,1,0,0,100
instance_216,1216,1,288,104,184,0.3597,0.6017,0.6617,5,0,4,100
instance_217,1217,9,29,17,12,0.5912,0.1233,0.1099,1,0,0,100
instance_218,1218,7,279,103,176,0.3683,0.4244,0.6475,1,0,0,2000
instance_219,1219,3,233,118,115,0.505,0.6003,0.6272,2,0,1,1000
instance_220,1220,4,247,121,126,0.4915,0.6002,0.677,1,0,0,2000
instance_221,1221,6,220,75,145,0.3399,0.6,0.6115,1,0,0,2000
instance_222,1222,8,235,131,104,0.5559,0.2221,0.5981,1,0,0,100
instance_223,1223,8,149,71,78,0.4785,0.3398,0.5007,1,0,0,1000
instance_224,1224,1,150,58,92,0.3882,0.6009,0.712,2,0,1,100
instance_225,1225,10,164,84,80,0.5105,0.2222,0.5322,1,0,0,500
instance_226,1226,2,236,119,117,0.5057,0.6003,0.6829,1,0,0,500
instance_227,1227,5,199,64,135,0.3196,0.3389,0.6154,1,0,0,5000
instance_228,1228,3,19,7,12,0.3629,0.1417,0.2859,1,0,0,1000
instance_229,1229,1,194,128,66,0.6616,0.6026,0.6923,2,0,1,100
instance_230,1230,2,45,19,26,0.4315,0.5306,0.4933,2,0,1,2000
instance_231,1231,9,25,17,8,0.6881,0.0348,0.1462,1,0,0,100
instance_232,1232,7,147,73,74,0.4948,0.2209,0.5222,1,0,0,500
instance_233,1233,1,105,57,48,0.5453,0.6012,0.6413,1,0,0,100
instance_234,1234,4,298,184,114,0.618,0.6002,0.6878,1,0,0,2000
instance_235,1235,3,6,4,2,0.606,0.0244,0.1246,1,0,0,2000
instance_236,1236,4,32,19,13,0.6024,0.0231,0.3546,1,0,0,2000
instance_237,1237,8,93,54,39,0.5756,0.3504,0.5896,1,0,0,2000
instance_238,1238,5,230,100,130,0.4365,0.6001,0.6012,1,0,0,5000
instance_239,1239,4,132,77,55,0.5868,0.5294,0.5287,1,0,0,2000
instance_240,1240,1,257,153,104,0.5938,0.6014,0.6691,3,0,2,100
instance_241,1241,10,233,94,139,0.4041,0.2085,0.4696,1,0,0,500
instance_242,1242,1,47,22,25,0.4587,0.6003,0.5463,2,0,1,100
instance_243,1243,4,263,115,148,0.4369,0.6003,0.6119,1,0,0,2000
instance_244,1244,1,54,18,36,0.3415,0.6015,0.6703,3,0,2,5000
instance_245,1245,7,207,70,137,0.3384,0.3088,0.5518,1,0,0,2000
instance_246,1246,3,125,87,38,0.6988,0.5627,0.6702,1,0,0,1000
instance_247,1247,3,149,97,52,0.6527,0.6002,0.6687,1,0,0,1000
instance_248,1248,1,13,7,6,0.5105,0.6001,0.5374,2,0,1,1000
instance_249,1249,10,139,72,67,0.5147,0.138,0.5302,1,0,0,2000
instance_250,1250,6,90,31,59,0.3406,0.1821,0.5113,1,0,0,1000
instance_251,1251,5,292,133,159,0.4544,0.6002,0.6555,1,0,0,5000
instance_252,1252,4,126,42,84,0.3329,0.3521,0.525,1,0,0,1000
instance_253,1253,7,159,93,66,0.5864,0.3078,0.5804,1,0,0,2000
instance_254,1254,1,70,36,34,0.5091,0.6005,0.6348,3,0,2,100
instance_255,1255,6,91,55,36,0.6025,0.2103,0.505,1,0,0,5000
instance_256,1256,2,190,71,119,0.3748,0.6002,0.6193,1,0,0,500
instance_257,1257,5,227,150,77,0.659,0.6001,0.6421,1,0,0,5000
instance_258,1258,2,228,129,99,0.567,0.6015,0.6667,1,0,0,500
instance_259,1259,8,108,68,40,0.6262,0.163,0.5398,1,0,0,5000
instance_260,1260,6,275,186,89,0.678,0.6003,0.6903,1,0,0,5000
instance_261,1261,10,90,39,51,0.4344,0.1023,0.4503,1,0,0,1000
instance_262,1262,10,79,21,58,0.2679,0.0637,0.2491,1,0,0,500
instance_263,1263,1,192,105,87,0.5482,0.6055,0.6642,1,0,0,100
instance_264,1264,3,174,85,89,0.49,0.6002,0.678,1,0,0,1000
instance_265,1265,4,130,88,42,0.6745,0.5741,0.6281,1,0,0,2000
instance_266,1266,6,140,94,46,0.6703,0.4614,0.5881,1,0,0,100
instance_267,1267,8,18,11,7,0.6069,0.0297,0.1157,1,0,0,500
instance_268,1268,5,38,25,13,0.667,0.2934,0.4867,1,0,0,5000
instance_269,1269,2,121,61,60,0.5,0.6002,0.6424,2,0,1,2000
instance_270,1270,8,54,19,35,0.3588,0.0931,0.2549,1,0,0,1000
instance_271,1271,9,287,146,141,0.5097,0.523,0.5674,1,0,0,100
instance_272,1272,4,277,76,201,0.2731,0.6001,0.682,1,0,0,2000
instance_273,1273,10,208,59,149,0.2827,0.0364,0.4491,1,0,0,500
instance_274,1274,10,94,24,70,0.2506,0.1046,0.173,1,0,0,500
instance_275,1275,5,216,140,76,0.6491,0.6002,0.6491,1,0,0,5000
instance_276,1276,6,237,129,108,0.5423,0.6,0.6379,1,0,0,500
instance_277,1277,2,195,126,69,0.646,0.6006,0.6583,2,0,1,500
instance_278,1278,6,171,61,110,0.3574,0.1012,0.5574,1,0,0,100
instance_279,1279,8,159,74,85,0.463,0.133,0.5727,1,0,0,2000
instance_280,1280,4,177,77,100,0.4354,0.6001,0.5922,1,0,0,2000
instance_281,1281,8,128,58,70,0.45,0.5607,0.4518,1,0,0,5000
instance_282,1282,10,221,58,163,0.2605,0.0941,0.4429,1,0,0,500
instance_283,1283,9,218,109,109,0.501,0.4421,0.6029,1,0,0,100
instance_284,1284,7,253,150,103,0.5911,0.6002,0.6933,1,0,0,500
instance_285,1285,10,245,81,164,0.3303,0.0786,0.5866,1,0,0,1000
instance_286,1286,5,107,65,42,0.6033,0.4528,0.5651,1,0,0,5000
instance_287,1287,2,187,50,137,0.265,0.6003,0.6692,1,0,0,2000
instance_288,1288,10,84,49,35,0.5832,0.0905,0.4311,1,0,0,500
instance_289,1289,2,53,25,28,0.4807,0.457,0.625,1,0,0,5000
instance_290,1290,2,200,79,121,0.3963,0.6004,0.6073,1,0,0,500
instance_291,1291,3,39,17,22,0.4374,0.3428,0.5591,1,0,0,1000
instance_292,1292,1,227,74,153,0.3277,0.6009,0.6069,1,0,0,100
instance_293,1293,2,136,66,70,0.4871,0.6005,0.6523,2,0,1,500
instance_294,1294,6,295,154,141,0.5235,0.6001,0.6611,1,0,0,2000
instance_295,1295,7,270,173,97,0.6406,0.4426,0.6769,1,0,0,1000
instance_296,1296,3,294,126,168,0.4288,0.6009,0.6872,1,0,0,1000
instance_297,1297,8,179,60,119,0.3336,0.1074,0.6049,1,0,0,1000
instance_298,1298,3,88,33,55,0.3727,0.6,0.6267,1,0,0,2000
instance_299,1299,7,173,91,82,0.5273,0.4662,0.6091,1,0,0,500
instance_300,1300,2,5,2,3,0.331,0.1302,0.1067,1,0,0,1000
instance_301,1301,5,181,79,102,0.4347,0.3659,0.5753,1,0,0,2000
instance_302,1302,2,287,200,87,0.6968,0.6008,0.6644,1,0,0,500
instance_303,1303,3,175,94,81,0.5378,0.6001,0.6527,1,0,0,1000
instance_304,1304,8,88,46,42,0.5238,0.1739,0.3752,1,0,0,100
instance_305,1305,4,198,82,116,0.4119,0.6001,0.6165,1,0,0,2000
instance_306,1306,9,190,119,71,0.6242,0.4982,0.591,1,0,0,2000
instance_307,1307,2,138,40,98,0.2888,0.6,0.4807,1,0,0,1000
instance_308,1308,6,88,54,34,0.6083,0.3642,0.521,1,0,0,5000
instance_309,1309,1,198,119,79,0.6004,0.6012,0.6708,1,0,0,100
instance_310,1310,5,20,7,13,0.3337,0.0317,0.0895,1,0,0,5000
instance_311,1311,10,169,66,103,0.3913,0.1361,0.5483,1,0,0,500
instance_312,1312,3,279,184,95,0.6593,0.6005,0.6733,2,0,1,1000
instance_313,1313,1,183,48,135,0.264,0.6015,0.6133,3,0,2,100
instance_314,1314,6,249,161,88,0.6479,0.6001,0.6222,1,0,0,2000
instance_315,1315,7,196,56,140,0.2859,0.25,0.5402,1,0,0,2000
instance_316,1316,7,210,131,79,0.6218,0.5513,0.584,1,0,0,5000
instance_317,1317,5,13,4,9,0.2776,0.0173,0.0884,1,0,0,5000
instance_318,1318,8,142,42,100,0.2958,0.1857,0.4215,1,0,0,1000
instance_319,1319,8,13,6,7,0.4604,0.0082,0.054,1,0,0,1000
instance_320,1320,9,123,78,45,0.6371,0.1163,0.5286,1,0,0,5000
instance_321,1321,3,240,97,143,0.4037,0.6004,0.6504,1,0,0,1000
instance_322,1322,8,100,42,58,0.4227,0.1985,0.5589,1,0,0,100
instance_323,1323,2,252,115,137,0.456,0.6008,0.6194,1,0,0,500
instance_324,1324,3,243,90,153,0.3722,0.6002,0.6831,1,0,0,1000
instance_325,1325,10,70,31,39,0.4424,0.0428,0.346,1,0,0,500
instance_326,1326,2,73,48,25,0.6636,0.6001,0.6993,1,0,0,5000
instance_327,1327,1,24,14,10,0.5805,0.6001,0.5077,1,0,0,100
instance_328,1328,9,77,37,40,0.4798,0.0869,0.338,1,0,0,100
instance_329,1329,1,28,12,16,0.4369,0.6001,0.5477,1,0,0,100
instance_330,1330,2,137,64,73,0.4656,0.6002,0.6486,2,0,1,2000
instance_331,1331,9,226,119,107,0.5247,0.3842,0.6089,1,0,0,100
instance_332,1332,9,288,164,124,0.5695,0.4245,0.5712,1,0,0,100
instance_333,1333,10,242,117,125,0.4823,0.3518,0.5693,1,0,0,500
instance_334,1334,4,96,63,33,0.6578,0.4948,0.5469,1,0,0,2000
instance_335,1335,3,64,33,31,0.5121,0.6,0.6065,1,0,0,1000
instance_336,1336,5,161,44,117,0.2763,0.1444,0.5109,1,0,0,5000
instance_337,1337,8,193,62,131,0.3214,0.3261,0.58,1,0,0,5000
instance_338,1338,1,201,100,101,0.4961,0.6007,0.6626,1,0,0,100
instance_339,1339,10,4,2,2,0.4168,0.0044,0.007,1,0,0,500
instance_340,1340,4,265,138,127,0.5223,0.6004,0.6775,1,0,0,2000
instance_341,1341,7,199,134,65,0.6745,0.3411,0.6391,1,0,0,1000
instance_342,1342,3,73,38,35,0.5188,0.6,0.6643,1,0,0,1000
instance_343,1343,8,216,110,106,0.5108,0.2473,0.5736,1,0,0,5000
instance_344,1344,2,200,58,142,0.2911,0.6004,0.696,1,0,0,500
instance_345,1345,3,98,28,70,0.2902,0.515,0.598,1,0,0,1000
instance_346,1346,8,221,91,130,0.4108,0.5806,0.6111,1,0,0,500
instance_347,1347,9,162,98,64,0.6046,0.1642,0.5578,1,0,0,100
instance_348,1348,5,211,118,93,0.5586,0.6002,0.6156,1,0,0,1000
instance_349,1349,3,277,80,197,0.2897,0.6001,0.5697,1,0,0,1000
instance_350,1350,4,236,106,130,0.4499,0.6002,0.6043,1,0,0,2000
instance_351,1351,4,16,5,11,0.2906,0.0536,0.1761,1,0,0,2000
instance_352,1352,3,239,127,112,0.5297,0.6007,0.6336,1,0,0,1000
