"Time (s)","Pressure (hPa)"
4.029192990E1,1.026348877E3
4.039192990E1,1.026393311E3
4.049192990E1,1.026414917E3
4.059192990E1,1.026436035E3
4.069192990E1,1.026456665E3
4.079192990E1,1.026495728E3
4.089192990E1,1.026513916E3
4.099192990E1,1.026532959E3
4.109192990E1,1.026553711E3
4.119192990E1,1.026600586E3
4.129192990E1,1.026624023E3
4.139192990E1,1.026645630E3
4.149192990E1,1.026665649E3
4.159192990E1,1.026703613E3
4.169192990E1,1.026723877E3
4.179192990E1,1.026745483E3
4.189192990E1,1.026766846E3
4.199192990E1,1.026807373E3
4.209192990E1,1.026826050E3
4.219192990E1,1.026844360E3
4.229192990E1,1.026863281E3
4.239192990E1,1.026901123E3
4.249192990E1,1.026919922E3
4.259192990E1,1.026937134E3
4.269192990E1,1.026952515E3
4.279192990E1,1.026984863E3
4.289192990E1,1.027002441E3
4.299192990E1,1.027022583E3
4.309192990E1,1.027045166E3
4.319192990E1,1.027091675E3
4.329192990E1,1.027115601E3
4.339192990E1,1.027139038E3
4.349192990E1,1.027162354E3
4.359192990E1,1.027214722E3
4.369192990E1,1.027241577E3
4.379192990E1,1.027269165E3
4.389192990E1,1.027296875E3
4.399192990E1,1.027356201E3
4.409192990E1,1.027387573E3
4.419192990E1,1.027420166E3
4.429192990E1,1.027453613E3
4.439192990E1,1.027487183E3
4.449192990E1,1.027552490E3
4.459192990E1,1.027585815E3
4.469192990E1,1.027619385E3
4.479192990E1,1.027652954E3
4.489192990E1,1.027720093E3
4.499192990E1,1.027752319E3
4.509192990E1,1.027788696E3
4.519192990E1,1.027818359E3
4.529192990E1,1.027875244E3
4.539192990E1,1.027903198E3
4.549192990E1,1.027930298E3
4.559192990E1,1.027957642E3
4.569192990E1,1.028010864E3
4.579192990E1,1.028037354E3
4.589192990E1,1.028061890E3
4.599192990E1,1.028085083E3
4.609192990E1,1.028130005E3
4.619192990E1,1.028151245E3
4.629192990E1,1.028171753E3
4.639192990E1,1.028191528E3
4.649192990E1,1.028226562E3
4.659192990E1,1.028241211E3
4.669192990E1,1.028255005E3
4.679192990E1,1.028268433E3
4.689192990E1,1.028294800E3
4.699192990E1,1.028307739E3
4.709192990E1,1.028320190E3
4.719192990E1,1.028332764E3
4.729192990E1,1.028359497E3
4.739192990E1,1.028373291E3
4.749192990E1,1.028385498E3
4.759192990E1,1.028395874E3
4.769192990E1,1.028413208E3
4.779192990E1,1.028420898E3
4.789192990E1,1.028431885E3
4.799192990E1,1.028445435E3
4.809192990E1,1.028481812E3
4.819192990E1,1.028505127E3
4.829192990E1,1.028533569E3
4.839192990E1,1.028564209E3
4.849192990E1,1.028630859E3
4.859192990E1,1.028666260E3
4.869192990E1,1.028703003E3
4.879192990E1,1.028739868E3
4.889192990E1,1.028814331E3
4.899192990E1,1.028851807E3
4.909192990E1,1.028888306E3
4.919192990E1,1.028924072E3
4.929192990E1,1.028994629E3
4.939192990E1,1.029030884E3
4.949192990E1,1.029071167E3
4.959192990E1,1.029113281E3
4.969192990E1,1.029199097E3
4.979192990E1,1.029239990E3
4.989192990E1,1.029275757E3
4.999192990E1,1.029307617E3
5.009192990E1,1.029362061E3
5.019192990E1,1.029385620E3
5.029192990E1,1.029404785E3
5.039192990E1,1.029423218E3
5.049192990E1,1.029457520E3
5.059192990E1,1.029472778E3
5.069192990E1,1.029486206E3
5.079192990E1,1.029498413E3
5.089192990E1,1.029509399E3
5.099192990E1,1.029527588E3
5.109192990E1,1.029534668E3
5.119192990E1,1.029541260E3
5.129192990E1,1.029545776E3
5.139192990E1,1.029549316E3
5.149192990E1,1.029545898E3
5.159192990E1,1.029540894E3
5.169192990E1,1.029535889E3
5.179192990E1,1.029529053E3
5.189192990E1,1.029533936E3
5.199192990E1,1.029543701E3
5.209192990E1,1.029558228E3
5.219192990E1,1.029600464E3
5.229192990E1,1.029627441E3
5.239192990E1,1.029654297E3
5.249192990E1,1.029680908E3
5.259192990E1,1.029732178E3
5.269192990E1,1.029757324E3
5.279192990E1,1.029782959E3
5.289192990E1,1.029809814E3
5.299192990E1,1.029867310E3
5.309192990E1,1.029897827E3
5.319192990E1,1.029928833E3
5.329192990E1,1.029960571E3
5.339192990E1,1.030027222E3
5.349192990E1,1.030069336E3
5.359192990E1,1.030118042E3
5.369192990E1,1.030174072E3
5.379192990E1,1.030310547E3
5.389192990E1,1.030399170E3
5.399192990E1,1.030495117E3
5.409192990E1,1.030599609E3
5.419192990E1,1.030834717E3
5.429192990E1,1.030972046E3
5.439192990E1,1.031115967E3
5.449192990E1,1.031264526E3
5.459192990E1,1.031572754E3
5.469192990E1,1.031737671E3
5.479192990E1,1.031907349E3
5.489192990E1,1.032081055E3
5.499192990E1,1.032470703E3
5.509192990E1,1.032655640E3
5.519192990E1,1.032842529E3
5.529192990E1,1.033033691E3
5.539192990E1,1.033441040E3
5.549192990E1,1.033657471E3
5.559192990E1,1.033879028E3
5.569192990E1,1.034101196E3
5.579192990E1,1.034525146E3
5.589192990E1,1.034718262E3
5.599192990E1,1.034896973E3
5.609192990E1,1.035063110E3
5.619192990E1,1.035347778E3
5.629192990E1,1.035467651E3
5.639192990E1,1.035578735E3
5.649192990E1,1.035678223E3
5.659192990E1,1.035824829E3
5.669192990E1,1.035869141E3
5.679192990E1,1.035897949E3
5.689192990E1,1.035912109E3
5.699192990E1,1.035887939E3
5.709192990E1,1.035852295E3
5.719192990E1,1.035805542E3
5.729192990E1,1.035750488E3
5.739192990E1,1.035611084E3
5.749192990E1,1.035529297E3
5.759192990E1,1.035443848E3
5.769192990E1,1.035354370E3
5.779192990E1,1.035261230E3
5.789192990E1,1.035072754E3
5.799192990E1,1.034981323E3
5.809192990E1,1.034892578E3
5.819192990E1,1.034807129E3
5.829192990E1,1.034638916E3
5.839192990E1,1.034550903E3
5.849192990E1,1.034458130E3
5.859192990E1,1.034359619E3
5.869192990E1,1.034132324E3
5.879192990E1,1.034011230E3
5.889192990E1,1.033886963E3
5.899192990E1,1.033760742E3
5.909192990E1,1.033513062E3
5.919192990E1,1.033394531E3
5.929192990E1,1.033282349E3
5.939192990E1,1.033176392E3
5.949192990E1,1.032996948E3
5.959192990E1,1.032913940E3
5.969192990E1,1.032832520E3
5.979192990E1,1.032751343E3
5.989192990E1,1.032578857E3
5.999192990E1,1.032490479E3
6.009192990E1,1.032402344E3
6.019192990E1,1.032316406E3
6.029192990E1,1.032167480E3
6.039192990E1,1.032101685E3
6.049192990E1,1.032042358E3
6.059192990E1,1.031988525E3
6.069192990E1,1.031899780E3
6.079192990E1,1.031857788E3
6.089192990E1,1.031815796E3
6.099192990E1,1.031774048E3
6.109192990E1,1.031697754E3
6.119192990E1,1.031662354E3
6.129192990E1,1.031627197E3
6.139192990E1,1.031592529E3
6.149192990E1,1.031517212E3
6.159192990E1,1.031478271E3
6.169192990E1,1.031440552E3
6.179192990E1,1.031403931E3
6.189192990E1,1.031341553E3
6.199192990E1,1.031313721E3
6.209192990E1,1.031286987E3
6.219192990E1,1.031260620E3
6.229192990E1,1.031208862E3
6.239192990E1,1.031183716E3
6.249192990E1,1.031159180E3
6.259192990E1,1.031135742E3
6.269192990E1,1.031094971E3
6.279192990E1,1.031075439E3
6.289192990E1,1.031056519E3
6.299192990E1,1.031037842E3
6.309192990E1,1.031003906E3
6.319192990E1,1.030987183E3
6.329192990E1,1.030969971E3
6.339192990E1,1.030952026E3
6.349192990E1,1.030903687E3
6.359192990E1,1.030875000E3
6.369192990E1,1.030842529E3
6.379192990E1,1.030806519E3
6.389192990E1,1.030716187E3
6.399192990E1,1.030665161E3
6.409192990E1,1.030610596E3
6.419192990E1,1.030552124E3
6.429192990E1,1.030487793E3
6.439192990E1,1.030350708E3
6.449192990E1,1.030278442E3
6.459192990E1,1.030203857E3
6.469192990E1,1.030124634E3
6.479192990E1,1.029960815E3
6.489192990E1,1.029876587E3
6.499192990E1,1.029790894E3
6.509192990E1,1.029703125E3
6.519192990E1,1.029525635E3
6.529192990E1,1.029436401E3
6.539192990E1,1.029333374E3
6.549192990E1,1.029246338E3
6.559192990E1,1.029076416E3
6.569192990E1,1.028993530E3
6.579192990E1,1.028914062E3
6.589192990E1,1.028836182E3
6.599192990E1,1.028686523E3
6.609192990E1,1.028614624E3
6.619192990E1,1.028546387E3
6.629192990E1,1.028479858E3
6.639192990E1,1.028352417E3
6.649192990E1,1.028292114E3
6.659192990E1,1.028236694E3
6.669192990E1,1.028184204E3
6.679192990E1,1.028087280E3
6.689192990E1,1.028043213E3
6.699192990E1,1.028005127E3
6.709192990E1,1.027970337E3
6.719192990E1,1.027910034E3
6.729192990E1,1.027884399E3
6.739192990E1,1.027864868E3
6.749192990E1,1.027847900E3
6.759192990E1,1.027822266E3
6.769192990E1,1.027813721E3
6.779192990E1,1.027810303E3
6.789192990E1,1.027809326E3
6.799192990E1,1.027814453E3
6.809192990E1,1.027820312E3
6.819192990E1,1.027829956E3
6.829192990E1,1.027841553E3
6.839192990E1,1.027868896E3
6.849192990E1,1.027884155E3
6.859192990E1,1.027901367E3
6.869192990E1,1.027919067E3
6.879192990E1,1.027956055E3
6.889192990E1,1.027974976E3
6.899192990E1,1.027994385E3
6.909192990E1,1.028013306E3
6.919192990E1,1.028049927E3
6.929192990E1,1.028067505E3
6.939192990E1,1.028082764E3
6.949192990E1,1.028096802E3
6.959192990E1,1.028121216E3
6.969192990E1,1.028131348E3
6.979192990E1,1.028138672E3
6.989192990E1,1.028144775E3
6.999192990E1,1.028152954E3
7.009192990E1,1.028155151E3
7.019192990E1,1.028154785E3
7.029192990E1,1.028153076E3
7.039192990E1,1.028150024E3
7.049192990E1,1.028139526E3
7.059192990E1,1.028130493E3
7.069192990E1,1.028120239E3
7.079192990E1,1.028108887E3
7.089192990E1,1.028082153E3
7.099192990E1,1.028066406E3
7.109192990E1,1.028049316E3
7.119192990E1,1.028031128E3
7.129192990E1,1.027991333E3
7.139192990E1,1.027969360E3
7.149192990E1,1.027946899E3
7.159192990E1,1.027923706E3
7.169192990E1,1.027875610E3
7.179192990E1,1.027849854E3
7.189192990E1,1.027823120E3
7.199192990E1,1.027795776E3
7.209192990E1,1.027738892E3
7.219192990E1,1.027709717E3
7.229192990E1,1.027680298E3
7.239192990E1,1.027650757E3
7.249192990E1,1.027590698E3
7.259192990E1,1.027559692E3
7.269192990E1,1.027528442E3
7.279192990E1,1.027496704E3
7.289192990E1,1.027433472E3
7.299192990E1,1.027401978E3
7.309192990E1,1.027370239E3
7.319192990E1,1.027338745E3
7.329192990E1,1.027274780E3
7.339192990E1,1.027242188E3
7.349192990E1,1.027208984E3
7.359192990E1,1.027175659E3
7.369192990E1,1.027108521E3
7.379192990E1,1.027075806E3
7.389192990E1,1.027043579E3
7.399192990E1,1.027011963E3
7.409192990E1,1.026945801E3
7.419192990E1,1.026916016E3
7.429192990E1,1.026886841E3
7.439192990E1,1.026857910E3
7.449192990E1,1.026801270E3
7.459192990E1,1.026773682E3
7.469192990E1,1.026746338E3
7.479192990E1,1.026719482E3
7.489192990E1,1.026667480E3
7.499192990E1,1.026642456E3
7.509192990E1,1.026617798E3
7.519192990E1,1.026593384E3
7.529192990E1,1.026545898E3
7.539192990E1,1.026522339E3
7.549192990E1,1.026498901E3
7.559192990E1,1.026475952E3
7.569192990E1,1.026429565E3
7.579192990E1,1.026406494E3
7.589192990E1,1.026383423E3
7.599192990E1,1.026360229E3
7.609192990E1,1.026312012E3
7.619192990E1,1.026286987E3
7.629192990E1,1.026261597E3
7.639192990E1,1.026235229E3
7.649192990E1,1.026208740E3
7.659192990E1,1.026154297E3
7.669192990E1,1.026126587E3
7.679192990E1,1.026098877E3
7.689192990E1,1.026071533E3
7.699192990E1,1.026017944E3
7.709192990E1,1.025992432E3
7.719192990E1,1.025967285E3
7.729192990E1,1.025942993E3
7.739192990E1,1.025896240E3
7.749192990E1,1.025873779E3
7.759192990E1,1.025851685E3
7.769192990E1,1.025830078E3
7.779192990E1,1.025787354E3
7.789192990E1,1.025765747E3
7.799192990E1,1.025744141E3
7.809192990E1,1.025722534E3
7.819192990E1,1.025677612E3
7.829192990E1,1.025654663E3
7.839192990E1,1.025631836E3
7.849192990E1,1.025608887E3
7.859192990E1,1.025565308E3
7.869192990E1,1.025544556E3
7.879192990E1,1.025524048E3
7.889192990E1,1.025504150E3
7.899192990E1,1.025465088E3
7.909192990E1,1.025445312E3
7.919192990E1,1.025425293E3
7.929192990E1,1.025404785E3
7.939192990E1,1.025361694E3
7.949192990E1,1.025339844E3
7.959192990E1,1.025317505E3
7.969192990E1,1.025295410E3
7.979192990E1,1.025252808E3
7.989192990E1,1.025231567E3
7.999192990E1,1.025210083E3
8.009192990E1,1.025188599E3
8.019192990E1,1.025141846E3
8.029192990E1,1.025117188E3
8.039192990E1,1.025091797E3
8.049192990E1,1.025066406E3
8.059192990E1,1.025015503E3
8.069192990E1,1.024990479E3
8.079192990E1,1.024965698E3
8.089192990E1,1.024941040E3
8.099192990E1,1.024893433E3
8.109192990E1,1.024869995E3
8.119192990E1,1.024846680E3
8.129192990E1,1.024823364E3
8.139192990E1,1.024776123E3
8.149192990E1,1.024752686E3
8.159192990E1,1.024729248E3
8.169192990E1,1.024705933E3
8.179192990E1,1.024659546E3
8.189192990E1,1.024636230E3
8.199192990E1,1.024612793E3
8.209192990E1,1.024589355E3
8.219192990E1,1.024542480E3
8.229192990E1,1.024519165E3
8.239192990E1,1.024495972E3
8.249192990E1,1.024472778E3
8.259192990E1,1.024449951E3
8.269192990E1,1.024405151E3
8.279192990E1,1.024382812E3
8.289192990E1,1.024357178E3
8.299192990E1,1.024335815E3
8.309192990E1,1.024292480E3
8.319192990E1,1.024270142E3
8.329192990E1,1.024246704E3
8.339192990E1,1.024222168E3
8.349192990E1,1.024171265E3
8.359192990E1,1.024145142E3
8.369192990E1,1.024118774E3
8.379192990E1,1.024092285E3
8.389192990E1,1.024039917E3
8.399192990E1,1.024013916E3
8.409192990E1,1.023988403E3
8.419192990E1,1.023963074E3
8.429192990E1,1.023912964E3
8.439192990E1,1.023888123E3
8.449192990E1,1.023863403E3
8.459192990E1,1.023838745E3
8.469192990E1,1.023789185E3
8.479192990E1,1.023764648E3
8.489192990E1,1.023740295E3
8.499192990E1,1.023716064E3
8.509192990E1,1.023667786E3
8.519192990E1,1.023643738E3
8.529192990E1,1.023619995E3
8.539192990E1,1.023596069E3
8.549192990E1,1.023547791E3
8.559192990E1,1.023523132E3
8.569192990E1,1.023497620E3
8.579192990E1,1.023472168E3
8.589192990E1,1.023421387E3
8.599192990E1,1.023396240E3
8.609192990E1,1.023371399E3
8.619192990E1,1.023346558E3
8.629192990E1,1.023298279E3
8.639192990E1,1.023274353E3
8.649192990E1,1.023250610E3
8.659192990E1,1.023226868E3
8.669192990E1,1.023177917E3
8.679192990E1,1.023153442E3
8.689192990E1,1.023129517E3
8.699192990E1,1.023106201E3
8.709192990E1,1.023062012E3
8.719192990E1,1.023040771E3
8.729192990E1,1.023020447E3
